id,name,category,quantity,price,inventory_value,stock_status,created_at,updated_at
1,Steering Wheel,Steering,2,698.97,1397.94,Low Stock,2026-08-02 13:51:30.630588,2026-08-02 14:45:08.647189
2,"20"" Tyres",Tyres & Wheels,10,303.95,3039.5,Low Stock,2026-08-02 14:44:54.784779,2026-08-02 14:44:54.784783
3,Brake Caliper,Brakes,22,98.09,2157.98,In Stock,2026-08-02 14:45:53.793984,2026-08-02 14:45:53.793987
5,Bosch Oil Filter,Engine,25,12.99,324.75,In Stock,2026-08-04 13:59:59.601024,2026-08-04 13:59:59.60103
6,NQK Spark Plug Set,Engine,18,34.99,629.82,In Stock,2026-08-04 14:00:21.144015,2026-08-04 14:00:21.144017
7,Mann Air Filter,Engine,20,19.99,399.79999999999995,In Stock,2026-08-04 14:00:42.017538,2026-08-04 14:00:42.017543
8,Timing Belt Kit,Engine,8,124.99,999.92,Low Stock,2026-08-04 14:00:57.913152,2026-08-04 14:00:57.913156
9,Serpentine Belt,Engine,15,28.99,434.84999999999997,In Stock,2026-08-04 14:01:14.45517,2026-08-04 14:01:14.455173
10,Fuel Pump Assembly,Fuel System,6,189.99,1139.94,Low Stock,2026-08-04 14:01:33.055096,2026-08-04 14:01:33.0551
11,Fuel Injector,Fuel System,12,74.99,899.8799999999999,In Stock,2026-08-04 14:01:49.828513,2026-08-04 14:01:49.828517
12,Fuel Filter,Fuel System,16,18.49,295.84,In Stock,2026-08-04 14:02:04.767699,2026-08-04 14:02:04.767703
13,Brake Disc Front,Brakes,30,54.99,1649.7,In Stock,2026-08-04 14:03:16.095372,2026-08-04 14:03:16.095377
14,Brake Disc Rear,Brakes,22,49.99,1099.78,In Stock,2026-08-04 14:03:29.725589,2026-08-04 14:03:29.725593
15,Ceramic Brake Pads,Brakes,27,39.99,1079.73,In Stock,2026-08-04 14:03:46.98804,2026-08-04 14:03:46.988044
16,Brake Fluid DOT4,Brakes,40,11.99,479.6,In Stock,2026-08-04 14:04:05.093501,2026-08-04 14:04:05.093505
17,Front Shock Absorber,Suspension,10,89.99,899.9,Low Stock,2026-08-04 14:04:25.874285,2026-08-04 14:04:25.874289
18,Rear Shock Absorber,Suspension,11,84.99,934.89,In Stock,2026-08-04 14:04:45.680306,2026-08-04 14:04:45.680311
